id,Total_Charge,BV,X,Y,3.5V,4.5V,Ron,Vf,gap,width,ngr,sigma,depth
590,1.17727466397e-8,-972.396423616,0.712890625,611.437524414,22166403.0753,77269317.6259,0.00227292160748,6.2859604735,1.86,3.34,7,0.0985,0.92
591,5.86623640021e-9,-272.71466414,0.705810546875,574.995996094,22505421.7535,78464566.2894,0.00204214354809,6.25147911498,3.46,0.6,2,0.0301,0.93
592,5.6510410658e-9,-260.390181116,0.196044921875,575.003122559,38577382.9814,155628460.475,0.00149614503446,4.80523070675,4.13,3.09,21,0.0279,0.42
594,6.20425108495e-9,-301.179534585,0.351806640625,575.010266113,31145265.035,117023865.694,0.00165369621304,5.26241978768,3.16,1.39,17,0.03,0.58
595,6.32852621452e-9,-307.10388035,0.33056640625,575.019008789,31547190.3472,119126788.524,0.00145079658876,5.22921471964,4.8,0.32,8,0.031,0.57
596,5.75378001583e-9,-252.643508862,0.610229492188,681.559179687,24198715.0316,85733624.1844,0.00251308668782,5.99166821318,0.31,3.79,26,0.0189,0.84
597,7.95469610321e-9,-467.203683912,0.709350585938,574.972218018,22275814.6535,77930262.6773,0.00233914687104,6.27498708468,1.62,2.81,11,0.0177,0.94
598,7.45452004646e-9,-375.976247734,0.76953125,665.918126221,21300580.885,73505609.5852,0.00283137327963,6.46496865941,0.49,3.84,21,0.0781,0.98
599,7.83291151648e-9,-458.748613989,0.238525390625,575.037755127,37037996.5605,147664644.511,0.00180972046448,4.87986555655,2.47,4.54,29,0.0818,0.42
600,8.22375965723e-9,-504.134683414,0.803556082791,638.814223633,21348047.1654,73495260.3894,0.00261504210148,6.46369384861,1.1,4.22,12,0.0783,0.98
601,5.77388410243e-9,-265.321838378,0.0615234375,574.955957031,48547639.5571,206676056.094,0.000915103155708,4.4658878685,2.5,2.73,16,0.0372,0.27
602,6.79427842449e-9,-356.828030851,0.24560546875,574.99875,36393912.7068,144123790.572,0.00107007665567,4.91585386094,3.51,1.87,2,0.0846,0.43
603,8.25753669162e-9,-512.591769038,0.4580078125,574.9734375,29243323.7373,108595781.84,0.0017287395062,5.410341266,2.51,2.19,14,0.0838,0.62
604,6.0342465086e-9,-284.948383071,0.41552734375,574.978808594,29896240.9057,110510569.871,0.00212412385604,5.37904336076,4.98,2.98,18,0.0491,0.61
605,5.94016320021e-9,-283.157357139,-0.09423828125,575.005615234,66428885.0752,289750586.313,0.000503061768322,4.15635866263,1.52,1.48,1,0.0462,0.12
606,7.237971621e-9,-398.845040991,0.67041015625,575.035095215,23160841.7005,81566884.9264,0.00361014784088,6.12309761542,4.58,4.39,25,0.0991,0.86
607,7.01464784594e-9,-368.930093843,0.76953125,574.959204102,21621737.522,74922822.7152,0.00225253642706,6.40117209456,3.89,1.91,4,0.0587,0.97
608,6.67925546869e-9,-340.811387324,0.2314453125,575.016679687,36732890.1248,144943726.174,0.00125729302011,4.900496688,2.61,0.71,19,0.0564,0.44
609,6.5262261877e-9,-336.677469782,-0.25,575.110480957,56837206.374,245540939.862,0.000762182620416,4.293671086,2.35,1.36,22,0.0854,0.16
610,7.37370606886e-9,-414.122066565,0.7978515625,589.147393799,21239340.6401,73061019.5558,0.00224950462627,6.48525910458,1.21,1.62,5,0.0638,0.99
611,7.47270059516e-9,-427.843099768,0.2880859375,592.962585449,34988027.9644,137276161.239,0.00115387973934,4.98444462885,0.76,0.62,13,0.0983,0.46
612,4.98367867159e-9,-205.318021592,0.196044921875,574.946337891,38044003.8385,153498390.722,0.00133789875076,4.81668476883,4.18,2.9,15,0.02,0.43
613,6.59984999023e-9,-340.723605555,0.04736328125,574.970385742,50898733.8497,216404249.483,0.000907525763553,4.41733951189,2.91,3.52,15,0.0837,0.22
614,5.33127897102e-9,-229.25784526,-0.03759765625,574.980239258,57019880.8623,251839431.487,0.00114945067164,4.28359367171,3.26,4.53,32,0.0383,0.19
615,5.41183761109e-9,-240.989383605,0.606689453125,574.96083374,24219015.3104,85878167.8956,0.00207256295925,5.98514774696,2.64,1.25,11,0.0204,0.84
616,7.8860752964e-9,-463.928917618,0.78369140625,574.962285156,21685424.3212,75216890.0771,0.00268692827339,6.3870095323,2.6,3.68,13,0.0491,0.97
617,9.48068824055e-9,-641.8783432,0.408447265625,575.010223389,29269082.8581,108383803.078,0.00145754778083,5.41334807397,1.41,0.76,5,0.0427,0.64
618,5.38011055107e-9,-236.87981397,0.535888671875,574.969902344,25974889.6748,93690392.3267,0.00264933954873,5.75437277634,4.65,1.53,26,0.0331,0.76
619,5.87134495054e-9,-279.195033097,-0.06591796875,575.040087891,58204319.55,255045339.265,0.000630642187329,4.26621397349,4.57,2.15,5,0.068,0.16
620,7.28026385731e-9,-411.394469311,0.5146484375,574.967695313,27731091.9075,101441753.561,0.0025444646555,5.56127529746,4.55,2.03,27,0.0991,0.66
621,9.06177845081e-9,-602.061450402,0.13232421875,575.003027344,42262180.4948,173080465.255,0.000972005565714,4.66736915223,1.4,0.66,20,0.0822,0.33
